timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721221183420,785,1_launch_website-35 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,108098,702,1,1,https://www.webstaurantstore.com/outlet.html,742,0,108
1721221188035,51,1_launch_website-39 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,14696,893,1,1,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,50,0,0
1721221192651,109,1_launch_website-51 - /api/pagecreatorbanner,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,606,837,1,1,https://www.webstaurantstore.com/api/pagecreatorbanner,108,0,0
1721221195449,719,1_launch_website-35 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,108025,702,2,2,https://www.webstaurantstore.com/outlet.html,661,0,50
1721221197264,148,1_launch_website-84 - /api:edgecache/getdynamicdata/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,3339,872,2,2,https://www.webstaurantstore.com/api:edgecache/getdynamicdata/?referer=&ltid=&dlid=&link=,147,0,0
1721221200063,36,1_launch_website-39 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,14696,893,2,2,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,36,0,0
1721221201881,153,1_launch_website-100 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,478,812,2,2,https://stash.webstaurantstore.com/PageView,0,0,59
1721221204677,84,1_launch_website-51 - /api/pagecreatorbanner,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,600,837,2,2,https://www.webstaurantstore.com/api/pagecreatorbanner,83,0,0
1721221206495,78,1_launch_website-98 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,478,822,2,2,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221207479,657,1_launch_website-35 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,108021,702,3,3,https://www.webstaurantstore.com/outlet.html,597,0,41
1721221211110,52,1_launch_website-99  -/pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,478,823,3,3,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221212093,46,1_launch_website-39 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,14696,893,3,3,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,45,0,0
1721221209292,3442,1_launch_website-84 - /api:edgecache/getdynamicdata/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,3339,872,3,3,https://www.webstaurantstore.com/api:edgecache/getdynamicdata/?referer=&ltid=&dlid=&link=,3441,0,0
1721221213911,219,1_launch_website-100 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,478,812,3,3,https://stash.webstaurantstore.com/PageView,0,0,57
1721221215725,53,1_launch_website-102 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1299,3,3,https://stash.webstaurantstore.com/PageView,0,0,0
1721221216709,68,1_launch_website-51 - /api/pagecreatorbanner,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,600,837,3,3,https://www.webstaurantstore.com/api/pagecreatorbanner,67,0,0
1721221218523,60,1_launch_website-98 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,478,822,3,3,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221219508,653,1_launch_website-35 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,108068,702,4,4,https://www.webstaurantstore.com/outlet.html,617,0,58
1721221220341,195,1_launch_website-105 - /pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1349,4,4,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221221323,156,1_launch_website-84 - /api:edgecache/getdynamicdata/,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,3339,872,4,4,https://www.webstaurantstore.com/api:edgecache/getdynamicdata/?referer=&ltid=&dlid=&link=,155,0,0
1721221223139,109,1_launch_website-99  -/pinterestConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,478,823,4,4,https://stash.webstaurantstore.com/pinterestConversion,0,0,0
1721221224122,32,1_launch_website-39 - /uploads/images/2018/3/fontello.woff2,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,14697,893,4,4,https://www.webstaurantstore.com/uploads/images/2018/3/fontello.woff2,31,0,0
1721221224955,235,1_launch_website-103 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,367,1955,4,4,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221225938,90,1_launch_website-100 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,478,812,4,4,https://stash.webstaurantstore.com/PageView,0,0,39
1721221227753,53,1_launch_website-102 - /PageView,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,367,1299,4,4,https://stash.webstaurantstore.com/PageView,0,0,0
1721221228735,75,1_launch_website-51 - /api/pagecreatorbanner,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,600,837,4,4,https://www.webstaurantstore.com/api/pagecreatorbanner,75,0,0
1721221230553,71,1_launch_website-98 - /facebookConversion,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-3,,true,,478,822,4,4,https://stash.webstaurantstore.com/facebookConversion,0,0,0
1721221231524,671,1_launch_website-35 - /outlet.html,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,108105,702,5,5,https://www.webstaurantstore.com/outlet.html,618,0,59
